accountable,accountable_transaction_type
A6N-13N-62-O1^2015-01-01,Arriendo Inmueble sin IVA
A6N-13N-62-S101^2021-04-01,Arriendo Inmueble sin IVA
A6N-13N-62-S102^2021-10-01,Arriendo Inmueble sin IVA
A6N-13N-62-S103^2020-06-01,Arriendo Inmueble sin IVA
A6N-13N-62-S103^2022-05-01,Arriendo Inmueble sin IVA
A6N-13N-62-S104^2021-08-01,Arriendo Inmueble sin IVA
A6N-13N-62-S105^2021-09-01,Arriendo Inmueble sin IVA
A6N-13N-62-S108^2016-12-01,Arriendo Inmueble sin IVA
A6N-13N-62-S109^2021-07-01,Arriendo Inmueble sin IVA
A6N-13N-62-S110^2021-09-01,Arriendo Inmueble sin IVA
A6N-13N-62-S111^2021-04-01,Arriendo Inmueble sin IVA
A6N-13N-62-S111^2022-07-01,Arriendo Inmueble sin IVA
A6N-13N-62-S112^2015-04-01,Arriendo Inmueble sin IVA
A6N-13N-62-S114^2021-09-01,Arriendo Inmueble sin IVA
A6N-13N-62-S201^2021-10-01,Arriendo Inmueble sin IVA
A6N-13N-62-S202^2021-10-01,Arriendo Inmueble sin IVA
A6N-13N-62-S203^2020-10-01,Arriendo Inmueble sin IVA
A6N-13N-62-S203^2022-04-01,Arriendo Inmueble sin IVA
A6N-13N-62-S204^2021-09-01,Arriendo Inmueble sin IVA
A6N-13N-62-S205^2020-08-01,Arriendo Inmueble sin IVA
A6N-13N-62-S207^2004-03-01,Arriendo Inmueble sin IVA
A6N-13N-62-S208^2021-10-01,Arriendo Inmueble sin IVA
A6N-13N-62-S209^2006-03-21,Arriendo Inmueble sin IVA
A6N-13N-62-S210^2017-03-20,Arriendo Inmueble sin IVA
A6N-13N-62-S211^2017-03-08,Arriendo Inmueble sin IVA
A6N-13N-62-S212^2011-09-01,Arriendo Inmueble sin IVA
A6N-13N-62-S214^2018-10-01,Arriendo Inmueble sin IVA
A6N-13N-62-S217^2018-12-01,Arriendo Inmueble sin IVA
A6N-13N-62-S219^2004-02-09,Arriendo Inmueble sin IVA
A6N-13N-62-S221^2018-06-15,Arriendo Inmueble sin IVA
A6N-13N-62-S222^2022-06-01,Arriendo Inmueble sin IVA
A6N-13N-62-S301^2021-08-01,Arriendo Inmueble sin IVA
A6N-13N-62-S302^2021-08-01,Arriendo Inmueble sin IVA
A6N-13N-62-S303^2022-03-01,Arriendo Inmueble sin IVA
A6N-13N-62-S304^2022-04-01,Arriendo Inmueble sin IVA
A6N-13N-62-S305^2021-02-01,Arriendo Inmueble sin IVA
A6N-13N-62-S306^2018-06-01,Arriendo Inmueble sin IVA
A6N-13N-62-S308^2022-03-01,Arriendo Inmueble sin IVA
A6N-13N-62-S308^2022-07-01,Arriendo Inmueble sin IVA
A6N-13N-62-S309^2022-03-01,Arriendo Inmueble sin IVA
A6N-13N-62-S310^2021-12-01,Arriendo Inmueble sin IVA
A6N-13N-62-S310^2022-07-01,Arriendo Inmueble sin IVA
A6N-13N-62-S311^2021-11-01,Arriendo Inmueble sin IVA
A6N-13N-62-S312^2017-06-01,Arriendo Inmueble sin IVA
A6N-13N-62-S314^2019-06-01,Arriendo Inmueble sin IVA
A6N-13N-62-S315^2019-08-01,Arriendo Inmueble sin IVA
A6N-13N-62-S317^2022-06-01,Arriendo Inmueble sin IVA
A6N-13N-62-S318^2021-08-01,Arriendo Inmueble sin IVA
A6N-13N-62-S319^2021-08-01,Arriendo Inmueble sin IVA
A6N-13N-62-S321^1996-08-13,Arriendo Inmueble sin IVA
A6N-13N-62-S322^2021-01-01,Arriendo Inmueble sin IVA
A6N-13N-66^2019-04-01,Arriendo Inmueble sin IVA
A6N-13N-68^1999-02-01,Arriendo Inmueble sin IVA
