,id,state_change_user_id,state_change_date,state,accountable_id,transaction_type_id,ledger_template_id,date_applicable
0,1,1,2022-11-22 07:30:14.606873+00:00,2,A6N-13N-62-O1^2015-01-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
1,2,1,2022-11-22 07:30:14.606907+00:00,2,A6N-13N-62-S101^2021-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
2,3,1,2022-11-22 07:30:14.606922+00:00,2,A6N-13N-62-S102^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
3,4,1,2022-11-22 07:30:14.606932+00:00,2,A6N-13N-62-S103^2020-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
4,5,1,2022-11-22 07:30:14.606943+00:00,2,A6N-13N-62-S103^2022-05-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-05-01
5,6,1,2022-11-22 07:30:14.606952+00:00,2,A6N-13N-62-S104^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
6,7,1,2022-11-22 07:30:14.606962+00:00,2,A6N-13N-62-S105^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
7,8,1,2022-11-22 07:30:14.606971+00:00,2,A6N-13N-62-S108^2016-12-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
8,9,1,2022-11-22 07:30:14.606981+00:00,2,A6N-13N-62-S109^2021-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
9,10,1,2022-11-22 07:30:14.606991+00:00,2,A6N-13N-62-S110^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
10,11,1,2022-11-22 07:30:14.607000+00:00,2,A6N-13N-62-S111^2021-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
11,12,1,2022-11-22 07:30:14.607009+00:00,2,A6N-13N-62-S111^2022-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-06-25
12,13,1,2022-11-22 07:30:14.607019+00:00,2,A6N-13N-62-S112^2015-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
13,14,1,2022-11-22 07:30:14.607041+00:00,2,A6N-13N-62-S114^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
14,15,1,2022-11-22 07:30:14.607056+00:00,2,A6N-13N-62-S201^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
15,16,1,2022-11-22 07:30:14.607068+00:00,2,A6N-13N-62-S202^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
16,17,1,2022-11-22 07:30:14.607080+00:00,2,A6N-13N-62-S203^2020-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
17,18,1,2022-11-22 07:30:14.607091+00:00,2,A6N-13N-62-S203^2022-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-04-01
18,19,1,2022-11-22 07:30:14.607101+00:00,2,A6N-13N-62-S204^2021-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
19,20,1,2022-11-22 07:30:14.607111+00:00,2,A6N-13N-62-S205^2020-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
20,21,1,2022-11-22 07:30:14.607121+00:00,2,A6N-13N-62-S207^2004-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
21,22,1,2022-11-22 07:30:14.607130+00:00,2,A6N-13N-62-S208^2021-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
22,23,1,2022-11-22 07:30:14.607140+00:00,2,A6N-13N-62-S209^2006-03-21,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2021-12-21
23,24,1,2022-11-22 07:30:14.607150+00:00,2,A6N-13N-62-S210^2017-03-20,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2021-12-20
24,25,1,2022-11-22 07:30:14.607160+00:00,2,A6N-13N-62-S211^2017-03-08,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-08
25,26,1,2022-11-22 07:30:14.607169+00:00,2,A6N-13N-62-S212^2011-09-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
26,27,1,2022-11-22 07:30:14.607179+00:00,2,A6N-13N-62-S214^2018-10-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
27,28,1,2022-11-22 07:30:14.607188+00:00,2,A6N-13N-62-S217^2018-12-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2021-11-01
28,29,1,2022-11-22 07:30:14.607198+00:00,2,A6N-13N-62-S219^2004-02-09,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-09
29,30,1,2022-11-22 07:30:14.607208+00:00,2,A6N-13N-62-S221^2018-06-15,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-15
30,31,1,2022-11-22 07:30:14.607219+00:00,2,A6N-13N-62-S222^2022-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-06-01
31,32,1,2022-11-22 07:30:14.607228+00:00,2,A6N-13N-62-S301^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
32,33,1,2022-11-22 07:30:14.607237+00:00,2,A6N-13N-62-S302^2021-08-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2021-12-01
33,34,1,2022-11-22 07:30:14.607246+00:00,2,A6N-13N-62-S303^2022-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-02-07
34,35,1,2022-11-22 07:30:14.607256+00:00,2,A6N-13N-62-S304^2022-04-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-04-01
35,36,1,2022-11-22 07:30:14.607265+00:00,2,A6N-13N-62-S305^2021-02-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-01-01
36,37,1,2022-11-22 07:30:14.607275+00:00,2,A6N-13N-62-S306^2018-06-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2021-11-01
37,38,1,2022-11-22 07:30:14.607284+00:00,2,A6N-13N-62-S308^2022-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-03-01
38,39,1,2022-11-22 07:30:14.607294+00:00,2,A6N-13N-62-S308^2022-07-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-07-01
39,40,1,2022-11-22 07:30:14.607303+00:00,2,A6N-13N-62-S309^2022-03-01,Canon Mensual Arriendo Inmueble,CA-Canon Mensual Arriendo Inmueble,2022-03-01
